Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Bhoot Police,"Adventure, Horror, Comedy","Two brothers Vibhooti and Chiraunji have fought their share of ghosts. However, a new case in a remote village forces them to rethink their own abilities and beliefs.",No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No
Breed,Drama,"The story of a person who is neither a man nor a woman, the world calls him the name of the Hijra. In this story it has been told that what is the emptiness in this person's personal life and how it is from society Fighting protecting the lives of others by fighting than. This story based on humanity of Hegira and shows problems in her lives.",No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Ankahi Kahaniya,"Drama, Romance","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Lockdown to Unlock,Comedy,Lockdown to Unlock movie which based on corona kaal...very relative story for everyone because everyone has face this pandemic situation.,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes
Dilli Kaand,"Crime, Horror, Drama","The movie 'Dilli Kaand' is actually based on all of the incidents of sexual assault cases within the nation. “So far, the investigation of cases of sexual violence has been shown in many films. Whereas, our film dwells on the severity of both physical and mental trauma of the victim and those close to her.",No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
Urf Ghanta,"Comedy, Drama","A warm, fuzzy and endearing story of naive Ghanteshwar, a middle-aged unmarried guy, who dreams of getting married one day to the girl of his dreams, but his world is turned upside down when he learns a startling truth about himself.",Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
After Death,Documentary,The age old tradition of making samadhi is a dying practice in modern Haryana. A sacred ritual which originated in north Indian villages is now facing the brunt of modern times.,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Friction,Drama,Rahul and Roskija are married and have a kid but things are not smooth in their relationship. Will the friction between them lead to a bigger disaster?,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Bishwa,Drama,A visually challenged boy from the  mesmerising village of Chilika lake of Odisha defeats age old blind Odia faith.,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Shiddat,"Romance, Drama","Love-struck Jaggi can cross the seven seas for his dream girl, Kartika. Even if it means stopping her wedding as he doesn't want to be friend-zoned.",Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
The Rapist,"Crime, Drama","Naina, a criminal psychology professor, is sexually assaulted in a slum she visits to help the daughter of a school custodian embroiled in a case of domestic violence and infanticide.",No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Ladies Only,Documentary,"The local train is a sight to behold in the morning, overloaded with crowds fighting to get inside. A special compartment reserved for women appears as a temporary oasis – a haven for solitude and contemplation. Director Rebana Liz John questions the women, who reveal what it means to keep ambitions alive within an oppressive patriarchal system. Black and white imagery evocatively captures the details of the women’s experience in this world. They reflect on their lives, across generations, with humour, disappointment and defiance, forming a complex tapestry whose common ground is endurance and survival.",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Rashmi Rocket,Drama,"Born in the small-town of Kutch, Rashmi overcomes all societal barriers to become a national-level athlete. But her glory is hindered when she is asked to undergo a gender test.",No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Sanak,"Action, Thriller","Set in Mumbai, the story unfolds in a hospital that is under siege, where Vivaan Ahuja and his wife Anshika are trapped. Does he manage to rescue her and other hostages from the dangerous hoodlums?",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Sardar Udham,"Crime, Drama, History","A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
Tathagat,Drama,"Set in the meditative quietude of a Himalayan village, Tathagat is a poetically shot tale of guilt. Following the journey of a monk questioning his renunciation, this philosophical drama takes a thought-provoking look at the relationship between our childhood memories and adulthood perplexities.",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Bhavai,"Romance, Drama","The story is about the dream of Rajaram and its impact on the society. Rajaram an enthusiast by nature had only one dream of becoming an actor since his childhood. Being a village resident, he was deprived of that chance to live his dream. Will the duo be able to survive the obstacles or become a victim and succumb to the blind beliefs of the society? Who is the real Ravan, Rajaram or We ""The Society""?",Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Babloo Bachelor,"Drama, Comedy","Babloo bachelor is a comedy genre film, in which Sharman Joshi is playing the protagonist. The story of the film is based on UP, where a well to do family had always dreamt of their son's wedding with great pomp and show.",No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Dybbuk,"Horror, Thriller, Drama","Mahi, a newly married woman, brings an antique Jewish box into her home. When Mahi and her husband Sam begin to have paranormal experiences, they soon learn that the box is a dybbuk containing an evil spirit. The couple then seeks the help of a rabbi to unravel its mystery. Will they survive this ordeal before their child is born?",No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
Aafat-e-Ishq,"Comedy, Drama, Thriller","Lallo, a 30-year old reclusive woman's life changes when she inherits her deceased employer's property. She yearns for love, but the men who enter her life die under mysterious circumstances.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Jolsobi,Drama,"Tapashi comes back to the countryside after finishing her studies. She tries to adjust as best she can, but the rural home is very different from the expectations she has for her life.",No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
The Brittle Thread,Drama,"In the ancient city of Varanasi, which embraces an intricate history of Hinduism and Islam, a sari weaver and an orchestral dancer live their respective lives, until an incident occurs...",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes
Vikalp,Drama,A small town girl with many aspirations has moved to a metro city to fulfill her dreams. Now what if she needs to choose between justice and her dreams?,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
Cheepatakadumpa,Comedy,"Three small town friends, their reunion, a gorilla, a bull, the full moon, the kundalini, a tomato, and patriarchy-smashing mischief.",No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No
Shoebox,Drama,Mampu watches her father struggling to keep his single-screen theatre alive - as her hometown Allahabad acquires a new name and starts losing traces of its past.,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Sooryavanshi,"Action, Crime, Thriller","A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Meenakshi Sundareshwar,"Romance, Drama","Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups — and hilarity — that arise from their long-distance marriage.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Gupt Gyaan,"Drama, Comedy, Romance","All of 16, Ritu and Anuj find themselves in a soup after Ritu's delayed period convinces both of them that she is pregnant. Stuck in this dilemma, they must now tread carefully to get themselves out of this mess.",Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Cash,"Comedy, Drama","Armaan, a 25-year old middle-class boy has an ambition of becoming India’s Elon Musk. On the day when the government announces demonetization, Armaan takes on the near-impossible task of laundering 5 crores of “dirty” money in less than 52 days before the banks stop accepting old notes,  along with his buddy Soda and a crooked real estate agent, Neha. But soon, hot on his heels are politicians, their minions, and a compulsively punctual dabbawala-turned-cop.",No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Dangerous,"Romance, Crime, Action, Thriller","Two women, who have some had bad experiences with men, passionately fall in love with each other.",Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Dhamaka,"Thriller, Drama, Crime","When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Bunty Aur Babli 2,"Comedy, Crime, Drama","Bunty and Babli are forced out of retirement as a new pair of cons emerge, doing robberies in their name with their trademark sigil across India.",No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes
Eight Down Toofaan Mail,Drama,"A woman landed at the New Delhi Railway station in 1974 and claimed she was the Queen of Awadh. She asked to meet Prime Minister Indira Gandhi. She was the living answer to the question, ‘How do you become a Queen?’ This film is an almost-heist based on believe-it-or-not true events from the 1970s at the New Delhi Railway Station with Nawabs from Awadh, reporters from BBC, the station master, a rickshaw puller, and a queen.",No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
Alpha Beta Gamma,"Drama, Romance","Jai's directorial career is on the uptick, though his marital life is on the rocks and he is trying to move on with his girlfriend Kiara. Mitali Chauhan, his wife, wants a divorce so that she can marry her clever engineer boyfriend Raviraj Varma, who is sober and caring, as against her unpredictable soon-to-be ex-husband. When Jai drops in in March 2020 to talk divorce, Raviraj is in the flat that once used to be Jai and Mitali's house, 'Talli Galli'. Raviraj, realizing that it will be awkward for the estranged couple to discuss divorce in front of him, decides to leave. But before one of the men can make way for the other in Mitali's life, the COVID-19 lockdown intervenes. Now, three horny souls afflicted with the love virus struggle to decide what they want, and at what cost, with nowhere to go but inside. Will they have threesome?",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Satyameva Jayate 2,"Action, Crime, Drama, Thriller","Satya Azad, an upright Home Minister wants to cleanse the country of corruption with his Anti-Corruption Bill. However, it fails to get enough ‘Ayes’, not only from his allies, but also from his wife Vidya a member of the Opposition, who votes ‘Nay’ in the Vidhan Sabha. When a couple of gruesome killings take place in the city, ACP Jay Azad is brought in to nab the murderer, never mind his motive.",No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Triangle,"Short, Thriller",A story about three friends who fall in love with each other,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Chhorii,"Horror, Thriller","Sakshi is eight months pregnant with her first child when she and Hemant are forced out of their home. They escape from the city and seek refuge in a house located deep inside sugarcane fields. The house is ridden with dark secrets that start unravelling as the story unfolds, posing a threat to Sakshi and her unborn child. Even as Sakshi tries to save herself and her unborn baby, scary sightings of three mysterious kids and a charred monster coupled with an eerie lullaby, emanating from an old transistor, wreak havoc with her sanity.",No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No
Rohingya - People from nowhere,"Documentary, Adventure, History","A true story, interwoven with a fictional poignant love story between a Rohingya girl and an Indian Special Forces Officer. It focuses on the peril, uncertainty, betrayal and misery of life in the Rohingya refugee camp.",No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No
Aruna Vasudev – Mother of Asian Cinema,Documentary,"Aruna Vasudev, Founder of Netpac, Cinemaya & Cinefan Film festival has touched the lives of many in the world of Cinema. This documentary traces her roots from her humble origins in an undivided British India, to corridors of cinematic universe. It brings together her journey as a film critic, cinema activist and an impresario, weaving a tapestry that connects the dots that make the large canvas that we know as Asian Cinema Renaissance. This film explores her dynamism painted through a narrative unfolding lives of critics, filmmakers, curators and programmers – who are hidden maestros that largely make the cinephilia culture and by large remain unsung in histories of Cinema.",No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
Hacker: Trust No One,Thriller,Danny was set to be rich with his new crypto currency until he was caught hacking finding himself and his girlfriend on a hit list.,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
Bob Biswas,"Crime, Action, Thriller","Bob Biswas, a hitman-for-hire, comes out of a prolonged coma and struggles to recall his identity but suffers a moral dilemma when the memories of his past resurface.",No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
Tadap,"Action, Romance","Passionate Ishana falls madly in love with Ramisa. As their love grows stronger by the day, fate plays the villain and throws one hurdle after another.",Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Code Name Abdul,Thriller,Four New York-based agents of India's Research and Analysis Wing search for a man involved in funding terrorist attacks.,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes
Velle,"Comedy, Crime","Rishi is a writer/director who is narrating a script close to his heart to Rohini - possibly the lead protagonist of his film. As he begins his narration, we step into the world of Rahul, Riya, Rambo and Raju - four friends living their best days amusing people with childish shenanigans in school.  These four ""Vellas"" are complete and content with each other's company and couldn't care less about the world around them until life hits them in the face. An enthralling script narration on one end, and four immature kids trying to correct a plan gone wrong on the other - Velle is about laughter, friendships, frenzy and the unpredictability of life.",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Chandigarh Kare Aashiqui,"Drama, Romance, Crime","Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba teacher. All seems well until a revelation causes turmoil in their love story.",Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Sorry Bhaisaab,Comedy,"This short film is a quirky tale of a middle-class couple , Varun and Kamla a.k.a Kimmi, residing in a typical DDA flats colony, and their desires, aspirations.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
420 IPC,"Crime, Drama","CA Keswani is arrested for bank fraud and forgery. Keswani hires Birbal, a lawyer, to fight his case. But Birbal realises that there's more to it than what meets the eye.",No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Halfpace,"Thriller, Crime, Romance","When a bed-ridden teen discovers his online crush has been murdered, he investigates her death, leading him on a hunt to stop her killer before he strikes again.",No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
DRE7MS,"Drama, Fantasy, Romance","After experiencing a traumatic loss of a colleague, Saanjh starts seeing a mysterious girl in his dreams who takes him through the seven stages of grief.",No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
83,"Drama, History","On the 25th of June 1983, the Lord’s Cricket Ground witnessed one of the biggest underdog stories in the history of sports. Fourteen inspired players - led by a man's self-belief and conviction - fought against all odds and orchestrated India’s greatest sporting triumph by beating the two-time World Champions West Indies.",No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
Atrangi Re,"Comedy, Drama, Romance",Runaway Rinku gets forcefully married to already engaged Vishu. Both don't want this marriage and make a deal to go on their separate ways. The equation gets weirder when Rinku's lover Sajjad shows up and Vishu starts developing feelings for her.,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Cinemaa Zindabad,Drama,"Cinemaa Zindabad is a 2021 Indian Hindi Film based on the Real Life story of the artist. This film is directed by Ajay Kailash Yadav, written by Ajay Kailash Yadav - Rajesh Chaurasia,and Produced By Ajay Kailash Yadav.",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
The Silence of Swastika,"History, Documentary",A documentary that distances the roots of Hitler's famous symbol from India's Swastika.,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
Naanera,Drama,"After the death of his father, Manish's uncles start taking his life decisions. His journey leads him to a questionable point when he begins a secret incestuous love affair with a cousin and the family finds itself in the midst of another death.",No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Asli Cricket,Sport,"Chintu (28) lives in a village in Gujarat as a construction worker. His owner earns insufficient income to support him. Chintu and his family fast a lot when they have no money left. Chintu has a blind adopted son, Kush. Vivek Joshi, the captain of the Indian cricket team, attends the opening ceremony of the tournament in the same village. Vivek Joshi asked the invitees to keep his presence as private as possible to protect his reputation.",No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Motu Patlu In The Toy World,Animation,"Catch Motu Patlu as they battle the evil Toy Man, to save the world from being turned into toys, in their latest movie ""Motu Patlu in the Toy World""",No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
Waah Zindagi,"Comedy, Drama, Romance","Ashok, a farmer's son, struggles to become an entrepreneur to win over his childhood sweetheart. Heartbroken, he joins the Make In India initiative to go against Chinese products.",Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Murder At Teesri Manzil 302,"Thriller, Drama","When a businessman’s wife gets kidnapped, the investigating officer finds something unusual about the case. Will the officer solve the mystery?",No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Still Waters Go Deep,"Drama, Mystery",A life story of a painter who is in dilemma of life and death reality.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sorry Day,Drama,Akash is an egoistic man who can’t say sorry to anyone and for the same reason he's facing marital issues. His life changes when he meets an 8-year-old girl named Sohana during a journey.,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
Longing,Documentary,"Against the backdrop of Partition, independent India’s first hockey team defeats England, their erstwhile coloniser, to win the Gold at the 1948 London Olympics. Six decades later, when Nandy Singh, a member of this iconic team suffers a stroke, his tenacious struggle to recover, inspires his daughter to retrace his journey. Using archival footage and interviews with teammates, she reveals lives shaped by the Gold, and by Partition that made them refugees. Revealed also is a friend in Pakistan never spoken of before. Her journey in search of him morphs into a quest for the lost ‘watan’ (homeland).",No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
36 Farmhouse,"Comedy, Drama, Mystery","A father and son duo enter a farmhouse with ulterior motives. However, they soon learn of a bigger plot brewing within the farmhouse orchestrated by their rich masters.",No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No
Urf,Documentary,"Lookalikes are as much part of Indian popular cinema’s romance with stardom as the super celebrities they – sometimes more and sometimes less – resemble. The Juniors, as they’re popularly referred to, live a paradoxical existence all of their own: if one meets Kishore Bhanushali on the streets, it's like time is out of joint, for he looks like Golden Age-icon Dev Anand – in the 1960s! It’s fitting that Bhanushali is also a stand-up comedian, as the Juniors are in equal parts paeans to and parodies of the original stars. The Juniors even have their own films, which are often satirical revisions of beloved classics.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mirror,Documentary,"A momentary act of revenge transformed the lives of two young Indian women forever. After surviving an acid attack, while carrying scars of human brutality on their faces, both Ritu and Faraha learn daily to redefine their lives through a sea of odd currents.",No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes
Kapil Sharma: I'm Not Done Yet,Comedy,"From the liquid courage behind his tweets to the sobering realities of making it in Mumbai, Kapil's pouring his heart out — with a heavy glug of humor.",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Why I Killed Gandhi,Documentary,Indian freedom fighter Gandhiji was killed by Nathuram Godse. But what made Nathuram Godse to take this extreme step?,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No
Guilt 2,Romance,"A young Housewife struggling to find joy in her life , joins a new job. Boss of the company makes her a offer she never thought of?",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Agam,Drama,"AGAM is a film based on three stories set in the backdrop of Varanasi, the city of Shiv (Religion), Shav (Corpse) and Tantra (Occult). ""Yatra"" is the story of the beginning of a journey of a traveler who has freed himself and moves ahead in his quest of knowledge and truth having broken the shackles and the impenetrable fort of the so called ""God head and the Matha (Hindu Monastery)"". ""Manikarnika"" is the story of a newlywed bride who tries to mould herself and conquer the ways of Manikarnika Ghat, smell and surrounding of burning corpses and rhythmic chanting of Ram Naam Satya Hai. ""Deh-Tantra"" is the story of uncontrived love, an attraction between a man and woman and the psychology of the masculine and feminine woven under the dark blanket of the so called and age-old established occult and ultimately overruling all the occult disciplinary and surrendering themselves to the love and physical attraction.",No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes
Looop Lapeta,"Action, Comedy, Crime","When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Biscut,Drama,Biscut is a powerful film on the state of politics in Uttar Pradesh and offers a gritty and hard-hitting take on the treatment of the backward classes and their never-ending exploitation in the caste-dominated political landscape of Uttar Pradesh.,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Ferrous,Crime,"A hitman, disguised as a cab driver, gets an assignment to dispose off a body. In between the task, he is robbed by a couple on the run. While the girl is in love, the boy has other plans.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Side A Side B,"Romance, Music, Drama","When young musicians Joel and Shivi go on a 44-hour long train ride from Guwahati to Mumbai, they realise it might be their last time together. Side A Side B is a musical love story that captures eight musical moments from that life changing journey.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
Uljhe Hue,"Romance, Drama","Embarrassed and frustrated after being stood up at a movie theatre, Rasika, an introvert visual artist bumps into Varun, a lawyer, while trying to escape the realities of Online Dating.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Gehraiyaan,"Romance, Drama","Alisha Khanna, 30, ambitious, now finds herself at crossroads in life. Her six year long relationship has grown monotonous, her career seems to be going nowhere. But just when she had begun to accept this reality as unchangeable, her life is usurped by the arrival of her cousin, Tia and her fiancé, Zain, with whom she bonds over a troubled past and a common wish to break from its confines.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes
Badhaai Do,"Comedy, Drama",A gay cop and a lesbian teacher enter a sham marriage to pacify their families but find that relationships — both real and fake — aren't all that easy.,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes
The Vanishing of Sarah Miles,Mystery,"A team of detectives is dispatched at Miles Courtyard on a forgery case, only to realize there is a much more sinister incident happening in the background over there. Will they be able to uncover the secret of Miles Courtyard?",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
UnBlock,"Crime, Romance, Drama","It’s not even 2 days since they met on Facebook. Karan comes with his friend Shakeel from Mumbai. In early morning, Rinki opens the door of hir hotel room. Shalu is standing in front, When Shalu is unable to say anything, Rinki goes to Shakeel’s room and found him dead.",No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes
That Girl,"Drama, Romance","Pathik, decides to move on from every memory of Devyani and goes to meet her one last time with a thought of returning the wrist watch.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Gangubai Kathiawadi,"Crime, Drama, History","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
A Thursday,"Crime, Drama","When a kindergarten teacher takes her 16 students hostage and makes a set of demands, it not only rattles the Mumbai police and the city but also sends shockwaves through the country and its leaders as the motive behind the hostage situation is unearthed.",No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
#Homecoming,Drama,"A group of ""friends"" and ""misfits"", who had formed a popular yet short-lived youth theatre group, reunite for the first time after seven years on an eventful Durga Pujo night at their old rehearsal space, a bungalow which is about to be converted into Kolkata's first five-star heritage hotel by the Ganges.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Pyar Mein Thoda Twist,"Romance, Drama, Comedy, Action",Pyar me thoda twist is a Romcom and action drama film. It's a story of a town near Lucknow (Uttar Pradesh). The hero of the film Dheeraj Thakur and the Heroine Maya (Richa Mukherjee) love each other even after knowing the old rivalry between their families. A twist comes with the entry of Jwala Singh aka Mr. Wanted. Everyone in the town and the police are looking for Mr. Wanted. How the life of everyone changes with Jwala Singh's aka Mr. Wanted entry? Do Dheeraj and Maya able to convince their rival families to their marriage? Does this twisted love story resolve?,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
Dusht Aatma: Deadman Spirit,Horror,Ai Ling couldn't forget the tragedy happened at the house that killed her husband and many people. She constantly had a nightmare how her husband endured suffering in hell. Ai Ling saw a newspaper post about a very skillful master resided in Thailand who could coax the spirit upon..,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
Yatri Kripya Dhyan De,"Mystery, Short","A journey of twists and turns that lets Sumit and Nandita unravel the complexities of stories once told,Shot in Kerala, the film revolves around Sumit, a traveler in his early 30s who meets a hitchhiker while driving back home, they get talking & what unfolds later is a series of surprising turns",No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Dhuin,Drama,"Pankaj is a small-town theatre actor with dreams of making it big in Mumbai. But faced with obligations to his family, which is under a deep financial strain post the lockdown, he is forced to weigh his dreams and make a choice.",No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Love Hostel,"Crime, Romance, Thriller","Set against the pulsating backdrop of rustic North India, Love Hostel traces the volatile journey of star-crossed lovers, being hunted by a ruthless mercenary on the orders of the area's MLA, who also happens to be the girl's grandmother.",No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No
Toolsidas Junior,"Drama, Family","A young boy seeks to master the game of snooker to defend his father’s legacy after a humiliating loss. But first, he’ll need help from a hardened pro.",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Jhund,Drama,A retired sports teacher transforms a bunch of teenage slum goons into disciplined football players against all odds.,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes
10 Nahi 40,Drama,"An educational entertainer sending a message to the society to understand and care for the elderly.To know their insecurities and fears as they approach the twilight of their lives. The movie is based on the fact that in the flag end of life all that old people need is love and companionship. Loneliness,insecurity and unpredictability of life makes them bitter. The main attraction of the movie is the unique revolutionary solution to all these issues that will be revealed to the audience in this movie. Laced with humour,10 nahi 40 sends out a message to the youngsters to be more understanding towards the elder people and to the older people it emphasises that life is beautiful and has to be lived with zest and",No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
The Kashmir Files,"History, Drama","Based on a true tragedy, the emotionally triggering film sheds light on the plight of Kashmiri Pandits (Hindus), a religious minority in the 1990s Kashmir valley, who were compelled to flee their homes by the Islamic militants.",No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
The Daughter,Drama,"Amidst a curfew in an Indian town, Indu struggles with her father's last wish, creating a poignant and challenging predicament. Will Indu's journey through curfewed streets fulfill her father's wish?",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Jahaan,"Drama, Short","The film is about a young married couple, Ghazal and Inder, who are head over heels in love with each other. But things get quite disturbing when an estate broker tries to find a new tenant for the house, they are emotionally attached to. Ghazal and Inder seem to have no intention to let go of the house",Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
The Protector,"Drama, Short","Against a backdrop of sectarian violence, can a gay Hindu man find the courage to help a Muslim?",No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Jalsa,"Drama, Thriller","A hit and run of an 18-year-old girl becomes the hub of a wheel that sets into motion many a spoke - a journalist, a raging mother, a cop and a system all caught in an ethical dilemma. Questions are raised only to realize that the truth is rarely pure and never simple.",No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Bachchhan Paandey,"Comedy, Action, Crime",A budding director tries to research a merciless gangster for making a film on gangsterism. But her secret attempts to conduct the research fail when she gets caught for snooping.,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
