title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Fanney Khan,"['Comedy', ' Drama', ' Music']",The journey of a struggling singer 'Fanney Khan' who aspires to make his daughter a big name in the music world.,2018-06-15,['Atul Manjrekar'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt6384386,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao",No,No,No
Love Sonia,['Drama'],Inspired by a real story of young girl's journey escape from the world of international sex trafficking.,2018-09-14,['Tabrez Noorani'],Yes,No,No,No,Yes,No,No,No,No,No,tt3823392,"Abhishek Bharate, Mrunal Thakur, Riya Sisodia",No,No,No
Hanuman Vs Mahiravana,['Animation'],"A series of events leading up to the final confrontation between Rama and Ravana. During the battle, Rama and Lakshmana are captured by Mahiravana, an evil sorcerer who is the brother and ally of Ravana.",2018-06-22,['Ezhil Vendan'],No,No,No,No,Yes,No,No,No,No,No,tt8430866,Rajesh Jolly,No,No,No
Sanju,"['Drama', ' Comedy']",Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.,2018-06-29,['Rajkumar Hirani'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt6452574,"Paresh Rawal, Manisha Koirala, Ranbir Kapoor",No,No,No
The Last Letter,"['Drama', ' Short']","A 70-year-old gay man living in Mumbai, trapped in a heterosexual marriage all his life starts seeing things differently after revisiting the reality which he escaped decades ago.",2018-07-01,['Vishal Jejurkar'],Yes,No,No,No,Yes,No,No,No,No,No,tt12008774,"Ravi Kumar, Dhiren Balsane, Aarav Mishra",No,No,No
Zoo,['Drama'],"Set in the heart of Mumbai, ZOO depicts lifestyles in and around the ghetto co-existing with the people residing in the upmarket, high-rise buildings of Mumbai. It is a story of a bunch of youngsters trapped and fighting their existence, and traces their lives through 4 parallel tracks. The film delves and inter-weaves the lives of 2 teenaged Dharavi rappers, a coffee-shop waiter who runs his drug delivery at the coffee shop, an under-aged teenage girl who hasn't left her posh South Mumbai apartment in 2 years as she lives the guilt of accidently killing her friends, and another girl staying in the slums working as house help in upmarket Mumbai. As we follow them, we realize that either they are fighting their identities, or are trying to alter their realities or have reluctantly succumbed to it.",2018-07-01,['Shlok Sharma'],Yes,No,No,No,Yes,No,No,No,No,No,tt6149820,"Shashank Arora, Prince Daniel, Shatakshi Gupta",No,No,No
Soorma,['Drama'],"Soorma, a comeback story of the hockey legend Sandeep Singh is a biopic that chronicles the life and times of the famed hockey player.",2018-07-13,['Shaad Ali'],Yes,No,No,No,Yes,No,No,No,No,No,tt7690638,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi",No,No,No
HahaKaar,['Comedy'],"HahaKaar is a culmination of 50 minutes of random jokes and stories from Gaurav Kapoor. It's basically stories from his life or his friends' life or friends of friends' life. However, he will tell it like all these things happened with him and he is the victim of a weird school, weird job, weird trips and weird friends. Also, there are a lot of lies in the show which you will never know.",2018-07-20,['Karan Asnani'],No,No,No,Yes,Yes,No,No,No,No,No,tt8634618,Gaurav Kapoor,No,No,No
Dhadak,"['Romance', ' Drama', ' Comedy']","Madhukar and Parthavi fall head over heels in love with each other, but the fact that they belong to different castes of society, becomes an obstacle in their romance. The lovers dare to go against societal norms and battle all odds for the sake of love.",2018-07-20,['Shashank Khaitan'],Yes,Yes,No,Yes,Yes,No,No,No,No,No,tt7638344,"Ishaan Khatter, Janhvi Kapoor, Ashutosh Rana",No,No,No
River Song,['Drama'],"Tashi is a lonely single man living on the edge of a small town in Arunachal Pradesh. The town is slowly being inundated by water from a nearby dam reservoir. One day he meets Eshna, who has come to town with her husband who is overseeing the dam's construction.",2018-07-22,['Sange Dorjee Thongdok'],Yes,No,No,No,Yes,No,No,No,No,No,tt8762020,"Vinamrata Rai, Upamanyu Boruwa, Tenzing Khechog",No,No,No
Nawabzaade,"['Comedy', ' Romance']","Three best friends fall in love with a simple, stay-at-home girl from their neighbourhood, who (unintentionally) pits them against one another. But, as love flies out of the window, the three men realise that their beloved is more than what meets the eye",2018-07-27,['Jayesh Pradhan'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt8060624,"Dharmesh Yelande, Punit Pathak, Raghav Juyal",No,No,No
"Saheb, Biwi Aur Gangster 3","['Action', ' Drama', ' Thriller']","It’s the third edition of Saheb, Biwi Aur Gangster series where it’s survival of the wittiest and the wealthiest. Will the royal couple Madhavi Devi and Aditya Pratap Singh live to tell the tale of relentless plotting, scheming and backstabbing?",2018-07-27,['Tigmanshu Dhulia'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt7695014,"Jimmy Shergill, Sanjay Dutt, Mahie Gill",No,Yes,No
Chalo Jeete Hain,['Documentary'],"An impressionable boy is struck hard by Swami Vivekananda's quote, ""Wahi jeete hain, jo doosro ke liye jeete hain"" (translation: ""Only those who live for others, actually live""). On the quest for purpose of life, he tries to pursue what he can do for others in his small world.",2018-07-29,['Mangesh Hadawale'],No,No,Yes,No,Yes,No,No,No,No,No,tt8774128,"Rajeev Saxena, Dhairya Darji, Dipti Avlani",No,No,No
Brij Mohan Amar Rahe!,"['Comedy', ' Drama']",Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,2018-08-03,['Nikhil Nagesh Bhat'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt6514010,"Sheetal Thakur, Arjun Mathur, Nidhi Singh",No,No,No
Adrishya,"['Drama', ' Family', ' Horror']","ADRISHYA is an Emotional thriller which explores the intricacies of a child - Parent believe in knowing each other. A never seen Child anxiety and its evil effect that will make you emotional and cry. Twist and turns in the movie will hold your breath by a high degree of Adventure and Suspense. Debutant Director Sandeepp Chatterjee says, I was fascinated by the idea of exploring Biggest Disadvantage of a Nuclear Family.",2018-08-03,['Sandeep Chatterjee'],Yes,No,Yes,Yes,Yes,No,No,No,No,No,tt7476874,"Ravi Kumar, Nishat Mallick, Archana Kotwal",No,No,No
Karwaan,"['Adventure', ' Comedy']","Avinash, a dejected soul stuck in a dead-end job shares a strange relationship with his father. He holds him responsible for crushing his dreams. However, he is left pondering upon this longstanding hatred when he hears of his father’s untimely demise.",2018-08-03,['Akarsh Khurana'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt7919680,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar",No,No,No
Mulk,['Drama'],"The youngest son of a Muslim family settled in Benaras gets involved in terrorist activities, leading to a bomb blast massacre. His actions have an adverse effect on the family who are left to defend themselves as people who are innocent and not anti-nationals.",2018-08-03,['Anubhav Sinha'],Yes,No,No,No,Yes,No,No,No,No,No,tt7618184,"Taapsee Pannu, Rishi Kapoor, Prachee Shah",No,No,No
Unmaad,['Drama'],"Shankar, a politically influential person who has his team of goons working for him as 'cow protectors' who beat up each and every person they see with a dairy animal and confiscate that animal with the help of a corrupt police officer. Kallu who is a butcher by caste but not by profession he is living in poverty to such an extent that his daughter is expelled from school hence his wife asks him to borrow money from his close friend Shambhu who is a Brahmin by caste.",2018-08-10,['Shahid Kabeer'],Yes,No,No,No,Yes,No,No,No,No,No,tt8743140,"Gehana Vasisth, Amit Pundir, Manisha Mondal",No,No,No
Page 16,"['Horror', ' Mystery']","Page 16 is a Supernatural thriller. It's a story about an ambitious builder Ajay, whose life turned upside down when he bought a book for his son Harsh. It all started with page 16 of that book where his past and present life gets entangled.",2018-08-10,['Shamshad Pathan'],No,Yes,Yes,No,Yes,No,No,No,No,No,tt7997646,"Kiran Kumar, Aseem Ali Khan, Bidita Bag",No,No,No
Lashtam Pashtam,['Drama'],"Set in Dubai, the story explores the bond between two friends, an Indian and a Pakistani, who play as the doubles partners in Tennis.",2018-08-10,['Manav Bhalla'],Yes,No,No,No,Yes,No,No,No,No,No,tt6154834,"Dolly Ahluwalia, Raanveer Chahal, Priyanshu Chatterjee",No,No,No
Redrum,['Thriller'],"Redrum - A Love Story is a story of a disturbed man who becomes a Rockstar, but even after receiving all the applaud, his complexities and insecurities get the better of him. Daksh, a singer, is doing extremely well up until he falls in love with Aarika. Aarika on attending Daksh's concert is completely swept off of her feet. They instantly fall in love.",2018-08-10,"['Dhruv', 'Sourabh']",No,No,No,No,Yes,No,No,No,No,No,tt4682128,"Saeeda Imtiaz, Tom Alter, Vibhav Roy",No,No,No
Sunday,"['Drama', ' Family']","Anubhav relocates to support his son’s studies. The big change slowly turns him into a cynic, impacting his mental health and everyone around him.",2018-08-15,['Rahul Srivastava'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt8481316,"Harshit Sindhwani, Lubna Salim, Kumud Mishra",No,No,No
Satyameva Jayate,"['Action', ' Thriller']","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law.",2018-08-15,['Milap Zaveri'],No,No,Yes,No,Yes,No,No,No,No,No,tt8202612,"Manoj Bajpayee, Aisha Sharma, John Abraham",No,No,No
Gold,"['Drama', ' History']","Set in 1948, the historic story of India's first Olympic medal post their independence.",2018-08-15,['Reema Kagti'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt6173990,"Krishan Tandon, Siddharth Kher, Hubertus Geller",No,No,No
Karim Mohammed,['Drama'],"Hamid (Yashpal Sharma) is a righteous man, who despises anyone who poses a threat to his Bakarwal community (a nomadic tribe residing in upper Kashmir, mainly working as goatherds and shepherds) and the country in general. But all hell breaks loose when one of his own succumbs to pressure from a bunch of terrorists.",2018-08-24,['Pawan Kumar Sharma'],Yes,No,No,No,Yes,No,No,No,No,No,tt7916674,"Alka Amin, Veer Gujjar, Juhi Singh Bajwa",No,No,No
Genius,"['Thriller', ' Action']","An orphan, with a brilliant mind, joins RAW and is burdened by the killing of his entire team. Until he doesn't avenge their death, he can't live in peace with his love. So, he hatches a genius plan.",2018-08-24,['Anil Sharma'],No,No,Yes,No,Yes,No,No,No,No,No,tt7722258,"Mithun Chakraborty, Ishita Chauhan, Utkarsh Sharma",Yes,Yes,No
Happy Phirr Bhag Jayegi,"['Drama', ' Romance', ' Comedy']","Horticulture professor Happy arrives in Shanghai and the other Happy along with husband Guddu also lands up in the Chinese city at the same time. Gangsters who’ve come to kidnap Happy and her husband, pick up the wrong Happy, while Guddu and his wife Happy are escorted to a university to deliver a lecture.",2018-08-24,['Mudassar Aziz'],Yes,Yes,No,Yes,Yes,No,No,No,No,No,tt7881542,"Jimmy Shergill, Diana Penty, Sonakshi Sinha",No,No,No
Toba Tek Singh,['Drama'],"The story takes place just before the India-Pakistan partition in one of the oldest mental asylums in undivided India. Situated in Lahore, it was home to Hindu, Muslim and Sikh patients who were left behind by their uncaring families. Friendships were thick between the patients who had nobody but each other for company. Each had a story that made for an interesting tale but none quite like Bishan Singh.",2018-08-24,['Ketan Mehta'],Yes,No,No,No,Yes,No,No,No,No,No,tt6121432,"Pankaj Kapur, N.K. Pant, Vinay Pathak",No,No,No
Aunty Ji,['Short'],"'AuntyJi' is a sweet slice of life tale that follows an important day in the lives of Parveen (Shabana Azmi) and Geetika (Anmol Rodriguez). Parveen is a lonely Parsi widow while Geetika is an acid attack survivor, they both belong to entirely different worlds, but destiny brings them together to make them realize that they share a lot more than what meets the eye. As they share their dreams, sorrows and beliefs an unlikely friendship is formed. The 20 minutes short film is a gentle reminder to follow your heart, chase your dreams and let no external force come in the way of living your life your way.",2018-08-29,['Adeeb Rais'],No,No,No,No,Yes,No,No,No,No,No,tt8917560,"Anmol Rodriguez, Shabana Azmi, Mohit Hiranandani",No,No,No
Tumbbad,"['Fantasy', ' Horror']","India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",2018-10-12,"['Rahi Anil Barve', 'Anand Gandhi', 'Adesh Prasad']",No,No,Yes,Yes,Yes,No,No,No,No,No,tt8239946,"Sohum Shah, Anita Date-Kelkar, Jyoti Malshe",No,No,No
Kathor,['Drama'],"Neelkanth chaturvedi is 55 years old . He is about to retire in 2 years from the post of Constable from Bilaspur Central Jail. He has a small family, wife Jyoti and daughter Anu. Anu is his lifeline. Neelkanth serves food and is the caretaker of the most dangerous prisoners of that Jail. He is soft hearted and has never raised his voice or hurt anyone in spite of being in Police. Anu has got engaged and her wedding date has been fixed and Neelkanth is all out to bid her farewell most lovingly , taking care of her smallest whims and fancies. Anu stubbornly requests him to take her to the town fare as she could freely roam around and purchase what she wanted at least once before getting married. Neelkanth humours her but a Naxalite group attacks the village fare and Anu loses her life in the hustle. Neelkanth and Jyoti actually become hopeless and as if lifeless as their small happy world crashes with Anu's demise. After a lot of counseling by well wishers , Neelkanth joins back his duty in the Jail. He is shocked and his turmoil begins when he , not only comes across Padam, the Naxalite who killed Anu , but he has to feed him too everyday. It is a great challenge for him to control his anger and anguish while feeding the devil himself. He curtails his fatherly instincts to avenge Anu's death and allows his sense of duty to win for a while. Padam also knows that he had killed Neelkanth's daughter. When his wife Jyoti comes to know that he is feeding Anu's killer , she gets into a rage and almost abandon's him. The story takes a harsh turn....who is more KATHOR ? We will need to find out at the theatres..—Ashwani Shukla (Pulicist)",2018-08-31,['Karan Kashyap'],Yes,No,No,No,Yes,No,No,No,No,No,tt8551394,"Sheetal Dimri, Abhisek Pandey, Lalit Parimoo",No,No,No
Baarish Aur Chowmein,['Drama'],"The story revolves around Siraj who is unable to rent a house in Mumbai as not many are willing to accommodate a Muslim. So, he hides his true identity and finds a home, where he falls in love with the landlord's daughter, Neelu. Will Siraj be honest and disclose his secret to Neelu?",2018-08-31,['Tigmanshu Dhulia'],Yes,No,No,No,Yes,No,No,No,No,No,tt8932884,"Taapsee Pannu, Tariq Naved Siddiqui, Amit Sadh",No,No,No
Stree,"['Horror', ' Comedy']","Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",2018-08-31,['Amar Kaushik'],No,No,Yes,Yes,Yes,No,No,No,No,No,tt8108202,"Pankaj Tripathi, Rajkummar Rao, Shraddha Kapoor",No,No,No
Yamla Pagla Deewana: Phir Se,"['Comedy', ' Drama']",An upright Ayurveda practitioner is hounded by big pharma giants for his age-old formula called Vajra Kawach that cures everything from pimples to impotency. But how long can he keep this magic pill only for the poor?,2018-08-31,['Navaniat Singh'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt7609114,"Sunny Deol, Bobby Deol, Dharmendra",No,No,No
Ek Aasha,['Drama'],The quest of a transgender girl to become a teacher in India.,2018-09-01,['Mayur Katariya'],Yes,No,No,No,Yes,No,No,No,No,No,tt8286142,"Disha Yadav, Annu Akade, Vijya Laxmi",No,No,No
Once Again,"['Drama', ' Romance']","After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.",2019-04-24,['Kanwal Sethi'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt4232066,"Shefali Shah, Bidita Bag, Neeraj Kabi",No,No,No
Manmarziyaan,"['Romance', ' Drama']",A spirited girl finds herself caught in a complicated love triangle while burdened with societal and familial pressures.,2018-09-14,['Anurag Kashyap'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt5474036,"Taapsee Pannu, Abhishek Bachchan, Vicky Kaushal",No,No,No
Silvat,"['Drama', ' Romance']","A young, middle-class housewife, living in the crowded lanes of Bombay in 1997, struggles with her loneliness, and cannot stop herself from falling in love with her neighbourhood tailor ...",2018-09-07,['Tanuja Chandra'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt5020726,"Maaman Memon, Amal Farooque, Kartik Aaryan",No,No,No
Halkaa,['Drama'],Halkaa is a story of a eight year old boy who lives in the slums of delhi and wants proper access to a toilet. This story is of a boy who is a real life Superhero who fights against the system to get what he wants and deserves.,2018-09-07,"['Nila Madhab Panda', 'Inderjeet Singh']",Yes,No,No,No,Yes,No,No,No,No,No,tt8136908,"Ranvir Shorey, Paoli Dam, Kumud Mishra",No,No,No
Laila Majnu,"['Drama', ' Romance']","Laila is a free-spirited girl from a conservative family who firmly believes in living for the present. Qais, a spoilt brat, falls head over heels in love with her. Their families, however, are warring over property, which leads to self-destruction, pain and bleeding hearts.",2018-09-07,['Sajid Ali'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt8011276,"Sumit Kaul, Triptii Dimri, Avinash Tiwary",No,No,No
Paltan,"['War', ' Drama', ' Action']","A war drama based on the Indo-China War of 1962, JP Dutta's ""PALTAN"" focuses on the hard-hitting truth of India's relations with China, and how it is important to acknowledge that China, an enormous power in world politics, poses to be a huge threat to India.",2018-09-07,['J.P. Dutta'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt7162758,"Sonu Sood, Arjun Rampal, Jackie Shroff",Yes,No,No
Music Teacher,"['Drama', ' Music', ' Romance']","Despite his ambitions to make it big, Beni is still stuck in the hills, bitter and hurt, struggling to make ends meet by teaching music and singing in clubs. Jyotsna, his estranged student and now a Bollywood singer, left the hills 8 years ago. The town is abuzz with the news of Jyotsna's return to perform at a music concert. Beni has to come to terms with the pains of the past and the delusions of the present to deal with both, Jyotsna's presence in the hills and in his life.",2018-09-08,['Sarthak Dasgupta'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt3257794,"Manav Kaul, Divya Dutta, Neena Gupta",No,No,No
No More #MeToo,['Drama'],"What will you do if you're an 18 year old girl going to attend your 1st day of college and you're abused by a passenger, but your brother refuses to help?",2018-09-09,['Ashish Lal'],Yes,No,No,No,Yes,No,No,No,No,No,tt9384614,"Sanjeev Poonam Mishra, Ashish Lal, Sandeep Jain",No,No,No
The Man Who Feels No Pain,"['Action', ' Comedy']","Leveraging his ability to withstand pain, a young man trains to follow in the footsteps of his martial arts hero.",2019-03-21,['Vasan Bala'],No,No,Yes,Yes,Yes,No,No,No,No,No,tt8055888,"Abhimanyu Dasani, Mahesh Manjrekar, Radhika Madan",No,No,No
Mitron,"['Romance', ' Comedy', ' Family']","Jai (Jackky Bhagnani), born and brought up with middle-class values, has a ‘take it easy’ approach to life. Since he doesn't believe in herd mentality, he and his two best friends, Raunak (Pratik Gandhi) and Deepu (Shivam Parekh) start looking for unique ways to make it big in the world. During this trial and error phase, Jai realizes his dream. But his decision of choosing an unprofitable career path doesn’t go down too well with his father (Neeraj Sood), who has bigger aspirations for him. Therefore, in order to bring stability in his life, his father decides to get him married. Destiny, however, has something else in store for Jai, when he accidentally meets Avni (Kritika Kamra), an ambitious, MBA graduate, who wants to start her own business. Set in the backdrop of the Gujarati milieu, the film traces Jai and Avni’s personal journey, as they both find themselves and discover the true meaning of friendship in the bargain.",2018-09-14,['Nitin Kakkar'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt8852558,"Jackky Bhagnani, Prateik Patil Babbar, Kritika Kamra",No,No,No
Ishqeria,"['Comedy', ' Romance']","Ishqeria is a story of a small town girl who falls madly in love with the most sought after guy in college. It is a journey of first love, growing up and second chances.",2018-09-21,['Prerna Wadhawan'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt2802062,"Manish Anand, Raj Babbar, Richa Chadha",No,Yes,No
Batti Gul Meter Chalu,"['Comedy', ' Drama']","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening.",2018-09-21,['Shree Narayan Singh'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt7720922,"Shahid Kapoor, Divyendu Sharma, Shraddha Kapoor",No,No,No
Blink,"['Science Fiction', ' Mystery', ' Thriller']",Blink is a sci-fi short film about a man living in two different realities. Every day is a new day in the life of Neeraj. But what will happen when Neeraj realizes that his current reality is about to collide with his other one?,2018-09-28,['Atmaja Bopardikar'],No,Yes,No,No,Yes,No,No,No,No,No,tt9064492,"Aniruddha Joshi, Vimmy Bhatt",No,No,No
Pataakha,"['Action', ' Comedy', ' Drama']","In a dusty Rajasthan village, two sisters, Badki and Chhutki, are constantly at each other's throats over trivial matters. Their father, a widower, struggles to keep them from tearing each other apart. Their meddling neighbour, Dipper, enjoys stirring up trouble between them. But when marriage takes them to different worlds, they discover how much they need each other.",2018-09-28,['Vishal Bhardwaj'],Yes,No,Yes,Yes,Yes,No,No,No,No,No,tt8396128,"Radhika Madan, Sunil Grover, Sanya Malhotra",No,No,No
Sui Dhaaga - Made in India,"['Comedy', ' Drama', ' Family']","Mauji stays in a village near Delhi with his wife Mamta, father and mother. Varun works at a shop that sells sewing machines, owned by Bansal and his son Prashant. Both have a habit of ill-treating Mauji and make him do fun antics. When Prashant gets married, Bansal invites Mauji and his entire family. Mamta feels humiliated when she sees Mauji being asked to imitate a dog by the Bansals.",2018-09-28,['Sharat Katariya'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt7147540,"Raghubir Yadav, Anushka Sharma, Varun Dhawan",No,No,No
Boys Who Like Girls,['Documentary'],"Teenager Ved comes from a violent home in the Mumbai slums. When he joins a project aiming to foster healthy masculinity, he begins to realise there may be a brighter path for his future than the one paved by his abusive, controlling father. One of Ved's mentors is Harish, a gentle man in his 50s who has dedicated his life to abolishing toxic masculinity. Through the support Ved gets, he takes his first wobbly steps into adult life while developing an unlikely new passion: dancing. Boys Who Like Girls is a coming of age story set in the aftermath of the infamous 2012 Delhi gang rape and the rise of the #MeToo movement. The world is in the midst of furious discussion about gendered violence and what it means to be a man. Will Ved's generation of boys be the first that actually likes girls?",2018-09-30,['Inka Achté'],No,No,Yes,No,Yes,No,No,No,No,No,tt7745976,"Harish Sadani, Aspar Husain, Vedprakash Jaiswal",No,No,No
Kaamyaab,"['Comedy', ' Drama']","The human drama is based on an interesting premise of a seasoned character actor who decides to come out of retirement and begin a quest for a record of some sorts, that elusive 500th role, the one for which he shall be remembered forever.",2020-03-06,['Hardik Mehta'],Yes,No,No,Yes,No,Yes,No,No,No,No,tt7881550,"Sanjay Mishra, Sarika Singh, Deepak Dobriyal",No,No,No
Bhonsle,['Drama'],"At a time when politicians use violence to rid Maharashtra of Bihari migrants, a dying Maharashtrian cop, Bhonsle, ﬁnds unlikely companionship in 23-year-old Bihari Sita as the raging conflict reaches his doorstep, giving him a last battle worth ﬁghting.",2018-10-05,['Devashish Makhija'],Yes,No,No,No,Yes,No,No,No,No,No,tt8476998,"Manoj Bajpayee, Ipshita Chakraborty Singh, Santosh Juvekar",No,No,No
Loveyatri,"['Drama', ' Romance', ' Comedy', ' Music']","Romance blossoms between young Sushrut and Michelle when they meet during the festival of Navratri. When Michelle returns home to the United Kingdom, Sushrut embarks on an adventurous journey through a strange land to win back the woman he loves.",2018-10-05,['Abhiraj Minawala'],Yes,Yes,No,Yes,Yes,No,No,No,No,No,tt7820846,"Sammy Jonas Heaney, Warina Hussain, Aayush Sharma",No,No,No
Andhadhun,"['Crime', ' Mystery', ' Thriller', ' Comedy']",A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,2018-10-05,['Sriram Raghavan'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt8108198,"Radhika Apte, Tabu, Ayushmann Khurrana",No,No,No
Namdev Bhau in Search of Silence,['Comedy'],"In this endearing black comedy, a 65-year-old who can't take noisy Mumbai anymore sets off on a thwarted quest for Himilayan silence.",2018-10-11,['Dar Gai'],No,No,No,Yes,Yes,No,No,No,No,No,tt8857610,"Namdev Gurav, Zoya Hussain, Arya Dave",No,No,No
Maal Road Dilli,['Comedy'],"""Maal Road Dilli"" is a Bollywood Movie which is slated to be released in multiple cinema houses across the country. The movie is produced by ""VIDYA MOVIES INTERNATIONAL"" and directed by Mr Atul Sriva, and produced by Mr Amit Srivastva.",2018-10-12,['Atul Sriva'],No,No,No,Yes,Yes,No,No,No,No,No,tt8852654,"Rhythm Arora, Mannveer Choudharry, Neha Kargeti",No,No,No
Jalebi,"['Drama', ' Romance']","An estranged couple happen to meet on a train journey where they independently reflect on what went wrong in their relationship and whether they will truly be able to move forward and start a new chapter, together or alone.",2018-10-12,"['Pushpdeep Bhardwaj', 'Lal Mohan']",Yes,Yes,No,No,Yes,No,No,No,No,No,tt8426854,"Rhea Chakraborty, Digangana Suryavanshi, Varun Mitra",No,No,No
FryDay,['Comedy'],"What happens when an honest salesman and a flirtatious married man cross path? Chaos ensues on a Friday as one outrageously hilarious lie leads to another.",2018-10-12,['Abhishek Dogra'],No,No,No,Yes,Yes,No,No,No,No,No,tt7526836,"Digangana Suryavanshi, Varun Sharma, Govinda",Yes,No,No
Helicopter Eela,['Drama'],"Eela, an aspiring playback singer, and single mother has given up all her dreams to raise her only son, who backlashes her for invading his privacy.",2018-10-12,['Pradeep Sarkar'],Yes,No,No,No,Yes,No,No,No,No,No,tt8427036,"Kajol, Riddhi Sen, Tota Roy Chowdhury",No,No,No
Rajma Chawal,"['Comedy', ' Drama', ' Family']","A father attempts to reconnect with his estranged son through social media, a new world for him.",2018-10-13,['Leena Yadav'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt6747420,"Aparshakti Khurana, Rishi Kapoor, Sheeba Chaddha",No,No,No
Balamji Love You,"['Drama', ' Action']",What is the English language plot outline for Balam Ji Love You (2018)?,2018-10-16,['Premashu Singh'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt11011668,"Harjot Singh Dhaliwal, Ashok, Priyanshu sah Artist",No,No,No
Other Side of Love,"['Action', ' Crime', ' Thriller']","Aryan, a gay man, and Raj, a bisexual hunk, who work for the same company, have one night stand together. Aryan falls in love with Raj but Raj doesn't. As a result,  Aryan uses a video of them together  to blackmail Raj. What will Raj do?",2018-10-19,['Ambrish Bhatia'],No,No,Yes,No,Yes,No,No,No,No,No,tt15816196,"Raj Rathor, Farzana, Abhay",No,No,No
Badhaai Ho,"['Comedy', ' Romance', ' Drama']",A 25-year-old man tries to suppress his embarrassment when his mother announces that she is pregnant.,2018-10-19,['Amit Ravindernath Sharma'],Yes,Yes,No,Yes,Yes,No,No,No,No,No,tt7725596,"Neena Gupta, Gajraj Rao, Ayushmann Khurrana",No,No,No
Namaste England,"['Comedy', ' Romance']","Param and Jasmeet fall in love and they get married. Their perfect romance gets disturbed by Jasmeet’s suppressed ambition however, she has dreams of going to London so that she can pursue her career and build a better life for herself. But Param unable to get a visa and that creates some high drama in their love life.",2018-10-19,['Vipul Amrutlal Shah'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt7607940,"Arjun Kapoor, Aditya Seal, Parineeti Chopra",No,No,No
My Dear Prime Minister,['Drama'],A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother.,2019-03-14,['Rakeysh Omprakash Mehra'],Yes,No,No,No,Yes,No,No,No,No,No,tt8207768,"Syna Anand, Rasika Agashe, Sonia Albizuri",No,No,No
